booking_id,customer_id,event_name,event_category,venue,booking_date,event_date,ticket_price,tickets_booked,booking_status,payment_method
1,678,sister,Movie,Thomas Grove,2025-09-21,2026-05-12,407.47,5,Pending,Net Banking
2,934,kind,Movie,Alexander Wall,2024-10-06,2026-01-10,175.95,7,Cancelled,Net Banking
3,19,book,Sports,Bradley Neck,2025-07-29,2025-09-29,385.22,10,Refunded,Wallet
4,608,receive,Stand-up Comedy,Torres Crest,2025-09-10,2025-12-28,383.61,9,Confirmed,UPI
5,108,apply,Conference,Hernandez Square,2024-08-24,2026-01-02,292.2,8,Confirmed,UPI
6,74,Mrs,Sports,Melanie Forest,2025-10-29,2026-05-20,79.75,7,Cancelled,Wallet
7,570,single,Movie,Mason Island,2025-04-17,2025-12-25,384.93,6,Pending,UPI
8,102,thing,Stand-up Comedy,Smith Heights,2024-08-09,2026-01-06,110.93,5,Confirmed,Wallet
9,127,its,Movie,Melissa Square,2024-11-06,2025-09-19,63.56,3,Refunded,Credit Card
10,339,region,Concert,Reed Club,2025-08-07,2025-10-15,270.71,1,Pending,Debit Card
11,685,about,Conference,Lynn Highway,2025-12-07,2026-01-17,338.14,8,Confirmed,Debit Card
12,200,good,Concert,Melanie Trail,2025-01-01,2026-03-22,300.47,2,Confirmed,UPI
13,368,dinner,Stand-up Comedy,Gerald Loaf,2024-07-20,2025-01-29,223.13,10,Pending,Wallet
14,547,describe,Stand-up Comedy,John Lodge,2024-11-11,2025-08-29,242.36,2,Pending,Net Banking
15,491,operation,Movie,Anthony Greens,2025-05-26,2025-06-09,20.91,9,Confirmed,Net Banking
16,817,lay,Movie,Eric Shoal,2025-01-25,2026-01-21,299.02,3,Refunded,Net Banking
17,94,anyone,Sports,Shepherd Lakes,2024-07-28,2024-10-02,61.16,7,Refunded,Debit Card
18,421,true,Concert,Yang Bypass,2024-09-14,2026-05-10,336.49,6,Refunded,UPI
19,107,stay,Conference,Williams Parkways,2025-12-13,2026-01-14,337.12,4,Pending,Wallet
20,969,next,Movie,Collins Hills,2025-05-22,2025-06-17,161.73,2,Cancelled,Credit Card
21,830,black,Conference,Navarro Summit,2025-05-20,2026-02-11,90.2,9,Pending,Wallet
22,764,line,Sports,Reynolds Trafficway,2025-01-06,2025-05-19,104.18,3,Refunded,UPI
23,248,once,Movie,Tara Centers,2024-09-08,2026-04-11,32.96,10,Refunded,Credit Card
24,570,wind,Stand-up Comedy,Hogan Streets,2025-09-17,2026-06-27,371.1,6,Confirmed,Debit Card
25,838,Democrat,Stand-up Comedy,Paige Street,2025-12-29,2026-04-05,52.9,6,Confirmed,Debit Card
26,863,check,Movie,Sullivan Center,2024-08-13,2025-03-15,231.14,7,Refunded,UPI
27,212,worker,Concert,Jeffrey Inlet,2025-11-03,2026-03-09,123.62,8,Pending,UPI
28,151,whose,Movie,Webb Fort,2024-07-26,2024-07-29,475.31,8,Refunded,Net Banking
29,844,four,Concert,John Crest,2025-07-19,2025-09-15,107.5,3,Refunded,UPI
30,471,five,Movie,Davidson Prairie,2024-07-06,2025-10-17,340.24,6,Refunded,Net Banking
31,836,to,Sports,Wright Loaf,2024-07-02,2026-03-22,384.38,6,Confirmed,Wallet
32,824,difficult,Movie,Thompson Vista,2024-12-30,2025-06-23,143.86,6,Pending,UPI
33,782,source,Stand-up Comedy,Steven Village,2025-10-06,2026-05-23,276.51,9,Cancelled,Credit Card
34,46,available,Sports,Mitchell River,2024-08-21,2026-01-05,155.27,7,Refunded,UPI
35,818,factor,Stand-up Comedy,Sharon Glen,2024-07-14,2025-09-09,281.84,1,Pending,Debit Card
36,557,site,Sports,Grimes Flats,2025-06-18,2026-04-02,156.9,2,Pending,Wallet
37,692,strong,Conference,George Prairie,2024-11-01,2025-07-13,42.28,8,Cancelled,Credit Card
38,931,scientist,Conference,Samuel Villages,2024-12-27,2026-01-04,252.02,2,Confirmed,Credit Card
39,175,campaign,Conference,Andrew Junction,2025-02-03,2025-11-27,49.58,5,Cancelled,Credit Card
40,533,scientist,Sports,Soto Passage,2024-09-07,2024-09-15,386.78,2,Confirmed,Credit Card
41,654,dream,Concert,Erika Haven,2024-07-20,2025-02-17,206.03,10,Refunded,UPI
42,478,purpose,Conference,Gregory Estate,2024-09-19,2025-04-07,105.92,8,Confirmed,Wallet
43,568,performance,Movie,Williams Meadows,2025-03-15,2025-08-05,283.15,9,Confirmed,Net Banking
44,699,writer,Sports,Perez Villages,2024-07-03,2026-06-08,335.23,1,Refunded,UPI
45,985,among,Movie,Byrd Crossing,2025-04-05,2025-10-25,383.31,7,Cancelled,Debit Card
46,479,walk,Sports,Larry Flat,2024-11-22,2026-05-06,151.27,4,Confirmed,UPI
47,349,career,Sports,Sarah Isle,2025-10-16,2026-06-02,131.81,5,Pending,Debit Card
48,640,water,Sports,Kevin Forge,2025-06-06,2025-07-13,431.96,2,Confirmed,UPI
49,622,Mrs,Sports,Wyatt Garden,2025-06-01,2025-06-30,164.81,7,Pending,UPI
50,527,avoid,Sports,Torres Plains,2025-12-09,2026-03-06,268.57,2,Confirmed,Net Banking
51,493,paper,Sports,Louis Mission,2024-07-18,2025-01-12,374.76,7,Confirmed,Debit Card
52,435,pull,Sports,Hodge Coves,2024-10-18,2026-05-26,469.97,6,Pending,Wallet
53,86,north,Movie,Wayne Mountain,2025-04-26,2025-10-08,438.56,3,Pending,Net Banking
54,61,still,Conference,Shelby Ville,2024-07-25,2024-09-14,308.5,7,Refunded,Debit Card
55,490,any,Conference,Arthur Drives,2024-08-29,2025-06-29,470.16,2,Pending,Debit Card
56,804,report,Conference,Williams Parkways,2024-10-09,2026-04-15,320.31,5,Pending,Credit Card
57,353,bill,Stand-up Comedy,Angela Crossroad,2025-06-10,2026-04-11,466.23,5,Confirmed,Net Banking
58,735,off,Concert,Xavier Bridge,2024-07-03,2025-05-16,395.7,7,Pending,Credit Card
59,723,black,Conference,Lang Key,2024-12-09,2025-11-26,166.06,1,Confirmed,Net Banking
60,347,continue,Movie,Griffith Summit,2024-12-14,2026-04-30,241.37,10,Pending,Credit Card
61,95,difference,Sports,Maurice Tunnel,2025-04-17,2025-12-16,457.65,10,Refunded,Net Banking
62,489,minute,Conference,Ryan Walk,2024-08-11,2025-01-19,111.81,9,Pending,Debit Card
63,204,situation,Movie,Johnson Field,2025-04-09,2026-02-03,363.76,7,Cancelled,Debit Card
